"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"795","المطافى","M5793500035","MP 4000","ايمن","زيارة","","","","","","",""
"140","مدرسة الضوي 1","M582900752","mp4000","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"915","مكتبة البطل","M6204200235","MP2550","سيف","زيارة","","","","البكاتوشى","1550021405","",""
"730","مدرسة شيبوب (مسائى)","M6283800645","MP3350","اسامة","زيارة","","","","المعمورة","1503736664","01008835755",""
"2071","مكتبة الاسراء دنا","M6283900338","MP2550","شعبان","زيارة","536414","","","بجوار صحة دنا","01220063962","",""
"671","سنترال مارينا","M6284200207","MP 4000","رحيم","زيارة","","","","بحرى / امام مستشفى راس التين العام","1205079780","",""
"804","مكتبة طارق الغنيمى","M6293700173","MP 3350","شعبان","زيارة","","","","نزلة ابو سعدة","1288655629","ا / طارق",""
"156","جرين واى امل شرف","M6294900405","mp3350","","زيارة","","","11/30/2022 12:00:00 AM","العصافرة","1221381550","",""
"521","المكتب الاستشارى الهندسى","M6384301232","MP3350","شعبان","زيارة","23230","","8/21/2023 12:00:00 AM","الزويدة امام شركة الكهرباء -- الضمان(10000) نسخة","1222390357","باقى حساب الالة 4000 جنية مقسمة على 4 اقساط 1000 جنية كل قسط",""
"157","مكتب الوفاء عادل  صالح","M6384301390","mp3350","ايمن","صيانة","","","9/15/2023 12:00:00 AM","الميناء","","",""
"1579","م/ حسين العامرية","m6384500534","mp3350","رضا","زيارة","331156","","","العامرية","1153084836","بيع 8000 جنيه بدون ضمان",""
"486","سنتر الامل","M6384600177","MP 2550","يوسف","زيارة","","","","العوايد / القلعة","1287274779","",""
"780","شركة استار للتجارة والمقاولات","M6384600567","MP 3350","اسامة","زيارة","","","","سموحة ش / الهلتون","1003891786","ا / عيد نعمان الصعيدى",""
"158","سى مارين","M6394100820","mp3350","مجدى","زيارة","","","","المنشية","1000772751","",""
"1806","معهد البحوث","M6394200085","MP1022","ايمن","زيارة","","","","امام كلية الهندسة","","",""
"375","مدرسة جميلة ابو حريد","M6394400164","MP3350","يوسف","زيارة","","","","","","",""
"57","ا / عادل الزرقاء (المحامى)","M6394900497","MP3350","شعبان","زيارة","","","","فيكتوريا","1023201942","البرنتر SP4210 (S5218703571)",""
"163","محمد خميس زكي","M6395100228","mp2550","شعبان","زيارة","805503","","","امبروزوا محرم بك","1116764108","01206651108",""
"369","مكتبة ريماس","M6403900325","MP2850","شعبان","زيارة","401753","","3/16/2023 12:00:00 AM","ارض الخواجة ابراهيم / ابو سليمان /بجوار مسجد الصفا","1203065017","الضمان (10000) نسخة",""
"159","مدرسة طارق بن زياد","M6404000167","MP3350","شعبان","زيارة","","","","بجوار التأمين الصحى سموحة","","",""
"570","مدرسة الشهيد محمد رمضان","M6404200298","MP2550","تمام","زيارة","","","","ابو قير-- بجوار الادارة التعليمية","1222971390","ا / منتصر",""
"359","مدرية الطرق والنقل","M6404500326","MP2550","شعبان","زيارة","","","","بجوار قسم الرمل اول","1289525033","",""
"160","مكتب ا/ محمد سعيد","M6483800000","MP2550","ايمن","زيارة","","","","الميناء","","",""
"161","شركة النيل للنقل البري الارشيف","M6484400216","mp2550","مجدى","زيارة","","","5/1/2026 12:00:00 AM","مدام /  تفيدة -- كرموز","1201215434","عقد صيانة شامل / تجديد ربع سنوى",""
"1527","سوبر ماركت الدكرونى","M6484400300","MP2550","شعبان","زيارة","","","","ابس الرابعه","01283113305","",""
"825","مكتبة الشيخ بلال","M6484800277","MP2550","شعبان","زيارة","108555","","4/18/2024 12:00:00 AM","ش / الزويدة بجوار الاسيوطى -- الضمان (10000) نسخة","1156258300","بلال (01500013644)",""
"162","شركة النيل للنقل البري","M6493700000","mp2550","مجدى","زيارة","","","","(مطلوب العقد )     كرموز / صلاح سالم","1201215434","سكرتارية رئيس مجلس الادارة",""
"1898","مدرسة عثمان بن عفان","M6493700036","MP1022","شعبان","زيارة","","","","باكوس","","",""
"912","مدرسة هدى شعراوى","M6493800502","MP2550","شعبان","زيارة","","","","","","",""
"803","سنتر الايمان","M6494100243","MP 2550","شعبان","زيارة","115398","","3/3/2024 12:00:00 AM","القلعة العوايد","1282310690","01272233106",""
"261","علي امبروزو  سجل محرم","m6494600408 ش","mp3351","شعبان","زيارة","","","","امبروزو","1271840522","",""
"1950","ضرائب جناكليس","M6496700035","MP2550","شعبان","زيارة","","","","جناكليس فوق فتح الله","","",""
"1535","ا/محمد عبد العاطى","M6583700948","MP2550","شعبان","زيارة","242165","","","مطار النزهه","1222316268","",""
"164","مكتبة الفؤاد الحديثة","M6583801637","mp2550","شعبان","صيانة","481973","","7/11/2027 12:00:00 AM","ش/العلم المصرى","1288677193","",""
"354","مدرسة عبد العزيز جاويش","m6584101500","mp2550","شعبان","زيارة","","","","زيزينيا","1222835567","ا/محمد حسن",""
"165","معهد البحوث المشتريات","M6584601020","mb2550","ايمن","صيانة","","","","الحضرة البحرية","","صيانة بجانب العقد",""
"1102","الصقر للسيارات","M6584601656","MP2550","مجدى","زيارة","","","","","","",""
"166","معهد البحوث ضمان الجودة","M6593900415","mbc2550","ايمن","صيانة","","","9/30/2024 12:00:00 AM","الحضرة البحرية","","عقد 3 سنوات",""
"988","شركة انترمنت","M6593901629","MP4000","السيد","زيارة","","","","العامرية","","",""
"204","رامى البكاتوشى(سبيدر مان)","M6594000547","MP 2550","شعبان","زيارة","","","","البكاتوشى","","",""
"1403","المدينة للمراة (الحضانة)","M6594001246","MP2550","مجدى","ايجار","222152","","","سموحة","","",""
"167","محمد كمال هيئة الصادرات","M6594300333","MP2550","ايمن","زيارة","","","","","","",""
"1738"," مدرسة خلف الراس السوداء لغات","M6594501002","MP2550","شعبان","زيارة","370514","","","الالة مباعة تبع م / رضا القدس","1286597563","ا / رنده",""
"931","د / هيمن","M6594700402","MP 2550","شعبان","زيارة","","","","ابيس بجوار مستشفى الكلى","1011237770","",""
"1002","مدرسة هدى شعراوى","M7981001685","MPC7500","شعبان","زيارة","","","","لوران","1222632893","ا / عبير",""
"1489","مكتب أيمن عصام","MC250FW","SPC262","شعبان","زيارة","18155","13282","","أبيس","1228309848","  01080076516",""
"723","شركة العراق","N2M3201861","KYC3050","رحيم","زيارة","","","","مرغم صحراوي - بجوار الامن المركزي","1288036708","ا / مينا",""
"721","شركة العراق","N2M3401984","KYC3050","رحيم","زيارة","","","","مرغم صحراوي - بجوار الامن المركزي","1288036708","ا / مينا",""
"930","شركة نايل فيرى","N2S2606304","KY 3050Ci","نوبى","زيارة","","","","امام باب 10 الميناء","1286467178","تبع مكتب الروان (حسن الشاعر)",""
"545","شركة اسكندرية للاستثمار","N3Y2505571","KY5500","رضا","زيارة","","","","ش / السلطان حسين الشاطبى ( لتداول الاوراق المالية )","1004015444","ا / محمد حسن",""
"1009","شركة ارت تريد","N3Y3313928","KY 2455","مجدى","مطلوب عقد","","","4/17/2026 12:00:00 AM","سيدى جابر","1008312224","ا / حاتم",""
"1383","مصنع ساف للملابس","N492708023","KY3500","يحيي","زيارة","649437","","","المستعمره","1122300766","ا/ حازم",""
"1406","مخزن تراى فارما للادوية","N492910602","KY3500","مجدى","زيارة","","","","الساعه","","",""
"2196","شركة برفيكت للاعمال الهندسية","N492910642","KY3500I","رضا","زيارة","","","","العامرية الناصرية -- مكتب المهندسين","01211423639","م / محمود نصر",""
"168","فاست 2","N492X10852","ky3500","مجدى","زيارة","","","4/1/2024 12:00:00 AM","المنشية","1226010654","03/4839553",""
"2011","الخواجة","N493113422","KY3500I","عادل","زيارة","","","","المندرة بجوار الاكاديمية","01022550053","",""
"1037","سنتر الهلالى","N493519027","KY3500i","طارق","زيارة","","","","العصافرة","1207619893","ا / امل",""
"1313","محمد حسنى تبع مكتبة بسام","N4B2603127","MP5500","رضا","زيارة","","","","ش 20 امام الادهم","1552249686","",""
"169","T . M . I","N4B3405785","Ky3500I","رضا","زيارة","","","11/22/2023 12:00:00 AM","العامرية منطقة حرة","","",""
"1020","مدرسة كمال بهاء الدين","NU22200125","KY2550CI","رضا","زيارة","","","","","","",""
"170","شركة المجد","NUZ3108723","ky2550","رضا","زيارة","","","5/31/2023 12:00:00 AM","ش محمد نجيب","","03/3586376",""
"957","شركة سحاب للسياحة","PBJFJ50001RW","SMS 5360","رضا","زيارة","27670","","3/15/2024 12:00:00 AM","جانكليس","1111651959","",""
"1185","مدرسة مطوبس التجاريه","QAW0Y22336","ky2560","رضا","زيارة","","","","","","",""
"614","محمد على تامينات","QAW1323965","KY 2560","رضا","زيارة","","","","محرم بيك /الرصافة","1223741653","03/3926834",""
"516","شركة فلوكيجر","QCA9505859","KY4050","مجدى","زيارة","","","2/7/2025 12:00:00 AM","بعد الموقف الجديد","1154042556","01278642080 -ا/ محمد الدسوقي",""
"2229","مكتبة ابو يوسف","RFH9X21818","KY3253CI","شعبان","ضمان","291765","179266","11/5/2026 12:00:00 AM","33 ش / الشيماء من المعهد الدينى العصافرة","01140193743","الكريم ابراهيم",""
"","نعمة احمد حسن","R2Q8100326","KY6635CID","عادل","ضمان","114400","68517","8/13/2026 12:00:00 AM","بحرى  12 ش الجمرك القديم","01224373499","",""
"2040","شيف بوكس","R2Q8201212","KY6635Cdn","رضا","زيارة","40412","16048","6/11/2026 12:00:00 AM","23 ش الحجاز الابراهيمية --الضمان(5000)نسخة","01201430889","محمود ابراهيم حمادة",""
"","المدينة للمراة","R4Q9Z31878","M3655IDN","مجدى","زيارة","214419","","","سموحة","","",""
"1585","مكتبة هشام الشروق","R615Q930459","","كريم","زيارة","2435","7708","","","","",""
"402","مكتبة فريندز","R663Q600917","ANC-J","طارق","زيارة","10070","12137","2/2/2023 12:00:00 AM","شارع الزيت من ش/عشرين","1270590785","كريم ابراهيم",""
"367","مكتبة عجمستا","R666Q73009","SG3110","","زيارة","","","","باكوس ش 20","1287408996","",""
"1867","سنتر I W I","R6B7Z00661","KY4006I","رضا","زيارة","","","","","","",""
"946","الجامعة الاهلية","R6B9104226","KY5000","مجدى","ايجار","356546","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"439","سنتر برافو","R6B9204429","KY 5000","رضا","زيارة","200548","","6/9/2023 12:00:00 AM","جليم ش /الازاعة","1279696971","",""
"945","الجامعة الاهلية","R6B9205322 ش","KY5000","","ارشيف","337967","","","بجوار الشركة","1208309372","ا / احمد عرفان",""
"2168","مكتبة لوران","R9K9Z07817","P-5032DN","رضا","زيارة","190201","","","","","ام احمد -- امال ابو زيد",""
"1767","الاكاديمية","R9L1723077","KY4532DN","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"","بيت الجملة فرع مدينتيB12","R9X0100795","KY352C","وائل","ايجار","39004","29839","","مدينتى","","",""
"","بيت الجملة فرع الحصرى 2","R9X0100829","KY352C","وائل","ايجار","51710","38655","","الحصرى","","",""
"1723","عمرو جابر عيسى","R9X9400297","KY352CI","مجدى","زيارة","19726","64611","12/15/2025 12:00:00 AM","اول ش / فؤاد بجوار مدرسة الجابرتى","1224939195","01285536819",""
"","بيت الجملة التجمع الخامس ميراج مول","R9X9900007","KY352C","وائل","ايجار","40538","26265","","التجمع الخامس","","",""
"1767","بيت الجملة المعادى 1","R9X9900031","KY352C","","ارشيف","44355","22416","","المعادى 1","","",""
"1698","احمد فتحي ( دار اسماعيل )","R9X9900060","KY352CI","رضا","زيارة","26669","15955","12/8/2025 12:00:00 AM","بجوار مستشفي دار اسماعيل","1277964380","ا/احمد فتحي",""
"","بيت الجملة فرع مدينتيB12","R9X9900076","KY352C","وائل","ايجار","29423","58807","","مدينتى","","",""
"","بيت الجملة فرع اكتوبر سيلفر مول 2","R9X9900089","KY352C","وائل","ايجار","67348","26928","","فرع اكتوبر","","",""
"","بيت الجملة فرع التجمع الثالث 2","R9X9900141","KY352C","وائل","ايجار","41764","30952","","التجمع الثالث","","",""
"","بيت الجملة فرع الحصرى 1","R9X9X00174","KY352C","وائل","ايجار","45127","19074","","الحصرى","","",""
"","بيت الجملة فرع الجولف","R9X9Y00388","KY352C","وائل","ايجار","26644","19544","","الجولف","","",""
"1710","محمد عبد العال حرفوش","R9X9Y00511","KY352CI","عادل","زيارة","94135","67387","2/28/2026 12:00:00 AM","برج العرب الجديدة","1008519023","",""
"1417","ا/ الامير ابراهيم المحامي","R9Y9502033","KY3001","مجدى","زيارة","8297","20120","3/24/2025 12:00:00 AM","اسبورتنج","","استبدال اله MPC305",""
"","بيت الجملة فرع عبور خزنة","RC69103504","KY6635CI","وائل","ايجار","2981","390","","مالتى الجمل","","",""
"2030","بيت الجملة فرع المنشيه","RC69805620","KYM6635CI","السيد","ايجار","44660","53616","","المنشيية","","",""
"","جورج عادل","RCH1220448","KY6235 C","رضا","زيارة","29902","69315","","برنتر الجمل","","",""
"1770","ا / حسام محمود","RCH16000366","KY6235C","رحيم","زيارة","25701","46273","12/24/2025 12:00:00 AM","السيوف","1282025541","",""
"","بيت الجملة فرع ارض المعارض اسكندرية","RCP0302035 ش","KY4072Cdn","","ارشيف","155887","122260","","الراس السوداء","","برنترالجمل",""
"1766","مركز بريميم","RF40X05112","KY6053CI","مجدى","زيارة","368459","114859","2/22/2026 12:00:00 AM","شارع النصر عمارة 3 شقة 3 كومباوند الهدى بلادى - ضمان عشرة آلاف نسخة","1222342061","ا/ بسطاوي",""
"1671","اولاد النوبي","RF41506673","CY 6053CI","مجدى","زيارة","346015","38493","2/22/2026 12:00:00 AM","28علي 30شارع قاسم امين متفرع من عرفان -محرم بك","1227319292","ا/ مدحت خليل",""
"1837","معرض ايفرن هوم السجاد","RF41606872","KY6053CI","عادل","زيارة","","","","الدائري بجوار سنتر لامعي","1222287411","",""
"1975","العالمية للصناعات الغذائية (نوفا)","RF49401071","KY6053CI","مجدى","زيارة","1069591","","6/21/2026 12:00:00 AM","ش / مصطفى كامل قبل قسم منتزة 3","01111464933","محمود قبانى",""
"1721","اسلام نور ( الوكالة)","RF49X02661","KY6053CI","شعبان","زيارة","130432","388132","3/15/2026 12:00:00 AM","داخل الوكالة -- الضمان 20000 نسخة","1025089332","ميدو نور",""
"1871","ايوب برسوم","RF49X02734","KY6053","مجدى","صيانة","138330","104675","5/31/2027 12:00:00 AM"," محطة الرمل","1014995777","01221064000",""
"","مدرسة الابداع الدولية","RF50310337","KY5053CI","مجدى","ضمان","760227","253461","10/21/2026 12:00:00 AM","ابيس الزراعى","1227323131","على عبد النبى",""
"2025","مدرسة جمعية سيدى جابر","RF80410572","KY5053CI","شعبان","زيارة","267132","325443","9/1/2026 12:00:00 AM","سموحة -- الضمان(10000) نسخة","01201555157","01011195923  / معتز-- محمد مكاوى",""
"2024","مكتبة الاستاذ","RF80410639","KY5053CI","شعبان","زيارة","210717","380171","8/22/2026 12:00:00 AM","كوبرى الناموس","01228272473","01017359081 منير يوسف",""
"2041","مكتبة الصافتى","RF80410644","KY5053CI","مجدى","ضمان","446308","437290","9/9/2026 12:00:00 AM","جرين بلازا ش النصر ابراج توب هاوس","01113856623","مجدى الصافتى",""
"1868","مكتبة الرايق كفر الدوار","RF81620609","KY5053CI","عادل","ضمان","485126","136517","8/2/2026 12:00:00 AM","كفر الدوار الحدائق مسجد السلام","01229994016","01203431369عبد المسيح",""
"1215","مينا فاست كمبيوتر","RF81720976","KY5053CI","مجدى","صيانة","1216231","35779","11/23/2026 12:00:00 AM","الابراهيمه","1222667320","",""
"1893","المدرسة الفرنسية (الشاطبى)","RF88Z00155","KY5053CI","رضا","زيارة","153163","402232","","","","",""
"","حسين صقر","RF88Z00172","KY5053CI","شعبان","زيارة","391761","133532","","السلطان حسين","","",""
"1872","شركة كراس","RF88Z00394","KY5053CI","رضا","زيارة","","","","تبع عبد الرحمن المحاسب","","",""
"1822","مكتبة ام جى","RF89301746","KY5053CI","شعبان","صيانة","674158","314905","7/12/2027 12:00:00 AM","ش/المواسير ابو هريرة","1289479407","",""
"","مطبعة خميس العجمى","RF89503105 ش","KY5053CI","","ارشيف","1361828","264440","","العجمى","","",""
"2055","مكتبة النجاح","RF89805150","KY5053CI","شعبان","زيارة","625498","483327","9/27/2026 12:00:00 AM","خورشيد","1277738880","ا / رامى ( 01284774999 )",""
"1352","سعيد المراغى(خردوات حنين)","RF89Y07501","KY5053CI","شعبان","زيارة","1984366","318895","6/28/2025 12:00:00 AM","المراغي -- الضمان(10000) نسخة","1283384705","",""
"1330","عبد الرحمن حسن","RF89Y07504","KY5053ci","مجدى","زيارة","863262","682295","12/10/2025 12:00:00 AM","الضمان10000ن او6شهور","1024385996","البيضا طريق المحمودية",""
"1378","سباير فارما","RF89Y07513","KY5053CI","مجدى","صيانة","1737504","344663","5/1/2027 12:00:00 AM","ش الريادة حدائق السرايا نموذج H","1022617411","",""
"1802","سنتر ابو حبيبة","RFC0932458","KY4053CI","شعبان","صيانة","890984","279874","12/31/2026 12:00:00 AM","ش النصر سموحة","1112759690","",""
"1097","الحليم ترانس","RFC1742671","KY4053CI","مجدى","صيانة","635840","287573","8/12/2026 12:00:00 AM","امام باب 14 الجمرك ضمان 10000 نسخه","1228666087","ا / عماد قابيل",""
"1177","عم جمال الصحة","RFC9102552","MP4053CI","شعبان","زيارة","377131","64808","5/3/2025 12:00:00 AM","مساكن محرم بك","125876915","",""
"1796","شركة عرفة تكستايل للصناعة والتجارة","RFC9203489","KY4053","عادل","زيارة","422608","128962","5/1/2026 12:00:00 AM","كفر الدوار بجوار الحرير الصناعى","1282646038","ا / اشرف",""
"2183","مدرسة المحور 4","RFC9304795","KY4053","شعبان","ضمان","211208","191535","1/6/2027 12:00:00 AM","كوبرى الناموس","01280175389","السيد  -  فريد",""
"2019","شركة ميسكو (ساكو الادارة)","RFC9405231","KY4053CI","مجدى","ايجار","1009229","402714","","المنشية بجوار البنك الاهلى فوق قبانى للاثاث","","ا / محمود",""
"1883","المدرسة الفرنسية (الشاطبى)","RFC9405737","KY4053CI","كريم","زيارة","","","","","","",""
"","حامد عبد السلام غازى","RFC9406426","KY4053CI","","","366834","14896","","كفر الدوار","01222704281","الالة مباعة جملة 13000 جنية",""
"","ا / عاطف رجب اسماعيل","RFC9406426 ش","KY4053CI","","ارشيف","360943","14592","7/7/2026 12:00:00 AM","شاطئ الصفا --الضمان(5000)نسخه","01275532868","",""
"1589","ميروزا للأستثمار العقارى","RFC9507897","KY4053CI","مجدى","زيارة","383177","644770","1/13/2026 12:00:00 AM","402 ميدان فيكتور عمانويل سموحة","1009795907","رمضان خلف رمضان",""
"1870","الاكاديمية  الكنترول  2","RFC9508669","KY4053CI","مجدى","ضمان","226549","358221","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"","مينا فاست كمبيوتر","RFC9712806","KY4053CI","مجدى","زيارة","438767","74552","","الابراهيمية","1222667320","",""
"","هشام المنشاوى","RFC9713034","KY4053CI","شعبان","ايجار","570433","198450","","ش / الجمهورية","1229601852","",""
"2084","شركة روبل بلاس","RFC9713043","KY4053CI","عادل","ضمان","485068","252105","10/28/2026 12:00:00 AM","سيدى حنيش - قرية سلفر","01287444093","",""
"2100","الاكاديمية  (الجودة)","RFC9713320","KY4053CI","مجدى","ضمان","455438","393991","12/13/2026 12:00:00 AM","المنتزة","1272796901","",""
"2198","شركة انابيب البترول","RFC9713330","KY4053CI","عادل","ايجار","503695","90924","","مرغم","","",""
"2114","مكتبة السعد","RFC9713332","KY4053CI","شعبان","ايجار","1011341","465377","","حجر النواتية","1273241020","",""
"","شركة ميسكو (العين الساخنه)","RFC9713335","KY4053CI","مجدى","ايجار","1059912","208625","","العين السخنة - ميسكو مكتب النقل","","",""
"2173","يورك هليز","RFC9816094","KY4053CI","مجدى","ضمان","198875","123524","12/29/2026 12:00:00 AM","اليكس ويست","01062606803","علاء محمود",""
"1407","مكتبة العربي","RFC9Y20718","KY4053CI","مجدى","زيارة","107053","247085","12/25/2025 12:00:00 AM","بجوار الشركة","1006584568","",""
"2052","مكتب المستشار مينا يوسف حكيم","RFH0126871","KY3253CI","مجدى","ضمان","164093","247400","9/25/2026 12:00:00 AM","المنشية","01022066650","",""
"1605","م / ياسر المنشاوى","RFH0430649","MFP3253","رضا","زيارة","223915","86453","","القاهرة","","",""
"1649","ا / مؤمن المحاسب","RFH0531424","KY3253CI","رضا","زيارة","147710","67617","","تبع م / رضا القدس","","",""
"2072","مكتبة النجوم","RFH0531707","KY3253CI","شعبان","ضمان","451303","36784","12/20/2026 12:00:00 AM","الرحمة ش السوق","01211431038","01143989096 -- ا / نورا",""
"1648","مكتبة القاسم","RFH0531968","KY3253CI","عادل","زيارة","222389","112411","2/11/2026 12:00:00 AM","عبد القادر العامرية --الضمان(5000)نسخة","1278962246","",""
"1629","مكتبة جولدن روز","RFH0532398","KY3253C","عادل","زيارة","488106","28680","2/4/2026 12:00:00 AM","المندرة بحرى","1279383274","01227097424",""
"2017","مكتبة الرايق كفر الدوار","RFH0634432","KY3253CI","رضا","زيارة","187232","15463","5/17/2026 12:00:00 AM","كفر الدوار الحدائق مسجد السلام","01203431369","عبد المسيح",""
"2071","مكتبة البراء","RFH0634465","KY3253CI","مجدى","ضمان","444718","32200","10/6/2026 12:00:00 AM","المنشية وكالة الليمون","01277225045","دعاء حمادة",""
"2062","تكنو اليكس","RFH0635035","KY3253CI","مجدى","ضمان","390025","68477","10/1/2026 12:00:00 AM","سموحه الضمان 10000نسخه+6شهور","1116226255","عمرو نوبي نصر",""
"2061","افريكانا للفنادق","RFH0635103","KY3253CI","عادل","ضمان","137534","137534","9/30/2026 12:00:00 AM","طريق الاستاد-برج العرب--الضمان (10000)نسخه","01270397785","بيشوي فكري",""
"2071","مكتبة (سهيلة سيد)","RFH0635810","KY3253CI","شعبان","ضمان","185854","18158","10/14/2026 12:00:00 AM","بجوار الشركة","01273570443","سهيلة سيد عبد الرحمن",""
"2018","مكتبة الرايق كفر الدوار","RFH0635819","KY3253CI","رضا","زيارة","222767","34292","5/17/2026 12:00:00 AM","كفر الدوار الحدائق مسجد السلام","01228548801","ميشيل نظيف ملك",""
"2021","مكتبة تكنو لايف","RFH0635854","KY3253CI","شعبان","زيارة","268008","19369","8/21/2026 12:00:00 AM","الحضرة بجوار مسجد العزيز المنان حى المهندسين","01033148314","0128584348عبد الرحمن",""
"","بيت الجملة فرع جاردينيا 1","RFH0635919","KY3253CI","وائل","ايجار","275366","42822","","","","",""
"2115","كنيسة الشهيد العظيم مارمينا","RFH0736247","KY3253CI","شعبان","ضمان","204409","19865","11/19/2026 12:00:00 AM","المندرة","0122385458","د / مينا نبيل",""
"2029","مكتبة طه","RFH0738996","KY3253CI","شعبان","ايجار","251456","80835","","حجر النواتية","01140054458","01211252345 -- محمد",""
"2053","اليكس مارين كريم الشيخ","RFH0739097","KY3253CI","مجدى","ضمان","280127","16198","9/27/2026 12:00:00 AM","ش / النصر المنشية","1004008793","03/4869684",""
"","بيت الجملة فرع جاردينيا 2","RFH1145209","KY3253CI","وائل","ايجار","118063","44948","","","","",""
"1617","شركة المدينة  لطب الإخصاب","RFH9103050","MFP3253","مجدى","زيارة","226099","75540","1/30/2026 12:00:00 AM","25 شارع كمال الدين صلاح - سموحة - الضمان ستة أشهر أو عشرة آلاف نسخة","34238431","آلاء شريف أحمد",""
"1124","مكتبة صولو","RFH9304529","KY3253CI","رضا","زيارة","181300","82348","5/8/2025 12:00:00 AM","العجمى البيطاش10000 نسخه","","ا / نادر",""
"1762","مكتبة حبيبة","RFH9407251","KY3253CI","كريم","زيارة","","","","المندرة","1228486962","",""
"2190","مكتبة اولاد بكر","RFH9510605","KY3253CI","شعبان","ضمان","269664","393101","1/12/2027 12:00:00 AM","اسكوت مدينة الاطباء","1277565544","ا / محمد عبد الفتاح",""
"2192","شركة النجار للتخليص الجمركى","RFH9816201","KY3253CI","مجدى","ضمان","328540","129026","1/14/2027 12:00:00 AM","اول ميدان ش النصر المنشية بجوار البنك التجارى الوفا","01005081737","مدام ناهد",""
"1659","حسين صقر","RFH9816231","KY3253CI","مجدى","زيارة","218168","90672","10/19/2025 12:00:00 AM","السلطان حسين","1007752548","",""
"1665","مكتبة الجامعه","RFH9817100","KY3253CI","مجدى","زيارة","148505","67660","2/10/2026 12:00:00 AM","امام مستشفى جمال عبد الناصر -- ضمان10000","1204141040","روان محمد",""
"1795","حمدي نور الاسلام","RFH9817276","KY3253CI","شعبان","ايجار","280633","125792","","  حجر النواتية","1060698002","",""
"1569","تكنو اليكس","RFH9817450","MP3253","رضا","زيارة","444357","22","1/6/2026 12:00:00 AM","سموحة - السويس  - الضمان ستة أشهر أو عشرة آلاف نسخة","1116226255","عمرو نوبي نصر",""
"1606","م / ياسر المنشاوى","RFH9818035","MFP3253","رضا","زيارة","56871","222064","","القاهرة","","",""
"536","جولدين ستارز","RFH9818468","KY3253CI","مجدى","صيانة","203454","73406","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"2099","مدرسة براعم الكمال","RFH9919585","KY3207CI","شعبان","ضمان","296181","60622","12/11/2026 12:00:00 AM","عزبة محسن","01224000864","ا / هشام",""
"1658","مكتبة الشيخ على(المدينة المنورة)","RFH9920518","KY3253CI","شعبان","زيارة","52774","105069","2/13/2026 12:00:00 AM","ش المدينة المنورة من ش مكة","1271304148","",""
"1669","مكتبة الربان","RFH9X21948","KY3253CI","شعبان","زيارة","69854","111046","2/17/2026 12:00:00 AM","الحضرة الجديدة ش النزهة","1092958869","ا/محمد عبد الستار",""
"1783","اولاد النوبي","RFH9Y22353","CY3253CI","مجدى","زيارة","20507","169195","2/22/2026 12:00:00 AM","28علي 30 شارع قاسم امين متفرع من عرفان -محرم بك","1227319292","ا/ مدحت خليل",""
"2176","مكتبة ابو يوسف","RFH9Y24061","KY3253CI","مصعب","زيارة","","","","33 ش / الشيماء من المعهد الدينى العصافرة","01140193743","الكريم ابراهيم",""
"1748","مكتبة تاج الدين","RFH9Z25956","KY3253C","شعبان","زيارة","213676","303433","3/20/2026 12:00:00 AM","دربالة","1225233301","",""
"1637","مكتبة أبو الخير","RFH9Z26117","MFP3253","شعبان","ايجار","248476","514217","8/6/2026 12:00:00 AM","حجر النواتيه","1275347653","عبد الرحمن فتحى محمد هاشم",""
"2187","ا / عوض عبد المجيد","RFM0X34309","KY2553CI","عادل","ضمان","305399","180924","1/11/2027 12:00:00 AM","برج العرب","","",""
"1874","مكتبة ماندو","RFM1641309 ش","KY2553CI","","ارشيف","114423","495178","6/10/2026 12:00:00 AM","بجوار الشركة -- الضمان 10000 نسخة","01207554441","احمد محمد فتحى",""
"2033","جلف شادوز(جهاز مدينة رؤية الجديدة)","RFM9103651","KY2553CI","شعبان","ايجار","136820","183550","3/7/2027 12:00:00 AM","بجوار مستشفى الشرطة  -- كارفور","01200854746","ا / الاء عبد الغنى",""
"1775","مكتبة اية الجديدة","RFM9304654","KY2553CI","شعبان","زيارة","90414","199694","1/19/2026 12:00:00 AM","غبريال ش الترعة بجوار بيت الجملة","1225119423","ا / جمال",""
"1817","شركة السليماني","RFM9X19390","KY2553","شعبان","صيانة","109317","22470","6/6/2027 12:00:00 AM","سيدي جابر الشيخ","1111146028","03/5425137",""
"2020","شركة ميسكو (ساكو الادارة)","RFM9Z22700","KY2553CI","مجدى","ايجار","27688","139185","","المنشية بجوار البنك الاهلى فوق قبانى للاثاث","","ا / محمود",""
"1827","مكتبة الصفوة ( النصر)","RFM9Z22934","KY2553CI","شعبان","زيارة","14865","92767","2/21/2026 12:00:00 AM","ش / النصر --الضمان(5000)نسخة","1017469001","ايمن",""
